,id_area,region,area,palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic
0,0_North-Apulia,1,1,1075,7.5e-09,226,7823,672,36,60,29
1,1_North-Apulia,1,1,1088,7.3e-09,224,7709,781,31,61,29
2,2_North-Apulia,1,1,911,5.4e-09,246,8113,549,31,63,29
3,3_North-Apulia,1,1,966,5.7e-09,240,7952,619,50,78,35
4,4_North-Apulia,1,1,1051,6.7000000000000004e-09,259,7771,672,50,80,46
5,5_North-Apulia,1,1,911,4.9e-09,268,7924,678,51,70,44
6,6_North-Apulia,1,1,922,6.6e-09,264,7990,618,49,56,29
7,7_North-Apulia,1,1,1100,6.099999999999998e-09,235,7728,734,39,64,35
8,8_North-Apulia,1,1,1082,6e-09,239,7745,709,46,83,33
9,9_North-Apulia,1,1,1037,5.500000000000001e-09,213,7944,633,26,52,30
10,10_North-Apulia,1,1,1051,3.5e-09,219,7978,605,21,65,24
11,11_North-Apulia,1,1,1036,5.9e-09,235,7868,661,30,62,44
12,12_North-Apulia,1,1,1074,7e-09,214,7728,747,50,79,33
13,13_North-Apulia,1,1,875,5.2e-09,243,8018,655,41,79,32
14,14_North-Apulia,1,1,952,4.9e-09,254,7795,780,50,75,41
15,15_North-Apulia,1,1,1155,9.8e-09,201,7606,816,32,60,29
16,16_North-Apulia,1,1,943,9.399999999999998e-09,183,7840,788,42,75,31
17,17_North-Apulia,1,1,1278,6.9e-09,205,7344,957,45,70,28
18,18_North-Apulia,1,1,961,7e-09,195,7958,742,46,75,30
19,19_North-Apulia,1,1,952,7.700000000000001e-09,258,7820,736,43,78,33
20,20_North-Apulia,1,1,1074,6.7000000000000004e-09,236,7692,716,56,83,45
21,21_North-Apulia,1,1,995,4.6e-09,288,7806,679,56,86,40
22,22_North-Apulia,1,1,1056,5.3e-09,247,7703,700,54,89,51
23,23_North-Apulia,1,1,1065,3.899999999999999e-09,234,7876,703,42,74,26
24,24_North-Apulia,1,1,1065,4.500000000000001e-09,245,7779,696,47,82,38
25,25_Calabria,1,2,1315,1.3899999999999999e-08,230,7299,832,42,60,32
26,26_Calabria,1,2,1321,1.36e-08,217,7174,950,43,63,30
27,27_Calabria,1,2,1359,1.15e-08,246,7234,874,45,63,18
28,28_Calabria,1,2,1378,1.11e-08,272,7127,940,46,64,23
29,29_Calabria,1,2,1295,1.09e-08,245,7253,903,43,62,38
30,30_Calabria,1,2,1275,1.21e-08,215,7285,892,40,68,41
31,31_Calabria,1,2,1336,1.2e-08,318,7083,915,50,70,38
32,32_Calabria,1,2,1309,1.2199999999999997e-08,241,7257,870,46,72,35
33,33_Calabria,1,2,1340,1.14e-08,189,7337,820,48,72,21
34,34_Calabria,1,2,1299,1.16e-08,253,7309,823,40,69,27
35,35_Calabria,1,2,1221,1.0700000000000002e-08,221,7441,798,54,70,28
36,36_Calabria,1,2,1245,7.2e-09,283,7395,829,44,67,28
37,37_Calabria,1,2,1285,1.29e-08,244,7323,819,57,65,36
38,38_Calabria,1,2,1248,1.0700000000000002e-08,313,7299,840,46,66,33
39,39_Calabria,1,2,1356,1.06e-08,236,7209,866,48,75,36
40,40_Calabria,1,2,1260,1.0200000000000002e-08,228,7354,870,49,64,28
41,41_Calabria,1,2,1261,1.21e-08,312,7238,877,47,65,25
42,42_Calabria,1,2,1304,1.24e-08,279,7160,928,48,61,37
43,43_Calabria,1,2,1344,1.1699999999999999e-08,287,7129,897,51,65,41
44,44_Calabria,1,2,1323,9.6e-09,300,7351,757,47,54,26
45,45_Calabria,1,2,1292,1.1699999999999999e-08,215,7351,839,48,61,32
46,46_Calabria,1,2,1254,1.18e-08,244,7394,786,46,71,24
47,47_Calabria,1,2,1312,1.3100000000000001e-08,259,7167,939,41,69,20
48,48_Calabria,1,2,1213,1.09e-08,301,7261,925,47,65,31
49,49_Calabria,1,2,1359,9.8e-09,351,7262,780,41,56,16
50,50_Calabria,1,2,1266,9.700000000000001e-09,263,7435,743,45,69,29
51,51_Calabria,1,2,1298,9.899999999999998e-09,311,7311,787,45,67,23
52,52_Calabria,1,2,1272,1.16e-08,279,7258,872,43,72,27
53,53_Calabria,1,2,1278,8.7e-09,332,7379,771,44,53,24
54,54_Calabria,1,2,1184,1.1200000000000001e-08,311,7391,819,48,57,28
55,55_Calabria,1,2,1382,1.1000000000000003e-08,268,7241,828,39,60,30
56,56_Calabria,1,2,1183,1.46e-08,292,7580,618,38,51,23
57,57_Calabria,1,2,1261,1.5299999999999998e-08,219,7355,818,52,70,26
58,58_Calabria,1,2,1198,1.36e-08,239,7639,633,27,55,19
59,59_Calabria,1,2,1225,1.3400000000000001e-08,232,7658,616,36,49,26
60,60_Calabria,1,2,1339,1.66e-08,208,7190,923,40,69,25
61,61_Calabria,1,2,1132,1.57e-08,240,7641,638,45,60,31
62,62_Calabria,1,2,1381,1.8300000000000002e-08,245,7385,609,47,70,25
63,63_Calabria,1,2,1409,1.28e-08,257,7257,759,43,57,16
64,64_Calabria,1,2,1306,1.27e-08,250,7254,869,47,68,24
65,65_Calabria,1,2,1372,1.2e-08,250,7355,702,44,68,28
66,66_Calabria,1,2,1336,1.13e-08,242,7293,855,38,60,18
67,67_Calabria,1,2,1401,1.5100000000000003e-08,238,7164,857,45,72,36
68,68_Calabria,1,2,1390,1.1899999999999999e-08,234,7236,823,40,62,41
69,69_Calabria,1,2,1432,1.52e-08,281,7029,949,39,55,25
70,70_Calabria,1,2,1412,1.24e-08,298,7182,790,45,68,28
71,71_Calabria,1,2,1366,1.47e-08,291,7197,783,51,70,34
72,72_Calabria,1,2,1383,1.18e-08,273,7282,738,45,68,29
73,73_Calabria,1,2,1283,1.0200000000000002e-08,263,7400,763,54,65,28
74,74_Calabria,1,2,1296,1.36e-08,260,7380,780,48,51,18
75,75_Calabria,1,2,1287,1.08e-08,287,7343,826,44,44,23
76,76_Calabria,1,2,1351,1.5900000000000003e-08,296,7229,810,36,60,22
77,77_Calabria,1,2,1241,9.700000000000001e-09,268,7499,709,52,69,36
78,78_Calabria,1,2,1267,1.0100000000000001e-08,300,7230,898,74,65,34
79,79_Calabria,1,2,1235,1.38e-08,252,7322,861,54,66,36
80,80_Calabria,1,2,1255,1.03e-08,223,7395,848,47,56,30
81,81_South-Apulia,1,3,1454,1.8300000000000002e-08,196,7057,1014,27,46,19
82,82_South-Apulia,1,3,1347,1.9400000000000002e-08,197,7277,895,25,46,15
83,83_South-Apulia,1,3,1364,2.0400000000000004e-08,225,6929,1084,21,50,14
84,84_South-Apulia,1,3,1410,1.99e-08,216,7130,955,21,48,19
85,85_South-Apulia,1,3,1384,1.78e-08,208,7105,999,29,67,26
86,86_South-Apulia,1,3,1412,1.8500000000000004e-08,217,6842,1203,34,72,32
87,87_South-Apulia,1,3,1410,2.32e-08,280,6715,1233,32,60,24
88,88_South-Apulia,1,3,1509,2.09e-08,257,6647,1240,42,62,30
89,89_South-Apulia,1,3,1317,1.9699999999999998e-08,256,7036,1067,40,60,22
90,90_South-Apulia,1,3,1286,1.92e-08,203,7132,1053,38,65,28
91,91_South-Apulia,1,3,1273,1.91e-08,202,6862,1303,43,70,28
92,92_South-Apulia,1,3,1463,1.8300000000000002e-08,183,6747,1307,36,60,24
93,93_South-Apulia,1,3,1399,1.8700000000000002e-08,191,6861,1233,38,60,17
94,94_South-Apulia,1,3,1413,1.9299999999999997e-08,208,6875,1202,30,60,18
95,95_South-Apulia,1,3,1369,2.06e-08,203,6953,1168,35,50,16
96,96_South-Apulia,1,3,1488,1.7200000000000002e-08,170,6920,1144,37,54,14
97,97_South-Apulia,1,3,1323,1.6e-08,205,6911,1298,24,50,17
98,98_South-Apulia,1,3,1311,1.66e-08,170,6902,1312,41,69,28
99,99_South-Apulia,1,3,1286,1.6299999999999997e-08,183,7040,1230,29,57,12
100,100_South-Apulia,1,3,1380,1.73e-08,188,7038,1139,31,44,14
101,101_South-Apulia,1,3,1394,1.6399999999999998e-08,223,7086,1042,24,43,23
102,102_South-Apulia,1,3,1324,1.74e-08,198,6863,1289,36,70,21
103,103_South-Apulia,1,3,1290,1.57e-08,192,7000,1263,26,51,19
104,104_South-Apulia,1,3,1361,1.6299999999999997e-08,196,6888,1273,37,58,24
105,105_South-Apulia,1,3,1387,1.82e-08,242,6913,1101,44,68,30
106,106_South-Apulia,1,3,1369,1.8000000000000002e-08,181,7000,1130,39,45,24
107,107_South-Apulia,1,3,1303,1.6500000000000002e-08,175,7025,1243,31,41,16
108,108_South-Apulia,1,3,1346,1.6e-08,169,7072,1151,39,48,15
109,109_South-Apulia,1,3,1369,1.71e-08,184,6937,1246,30,48,15
110,110_South-Apulia,1,3,1305,1.7200000000000002e-08,169,7004,1260,28,50,11
111,111_South-Apulia,1,3,1351,1.7899999999999998e-08,186,6935,1243,36,50,19
112,112_South-Apulia,1,3,1283,1.5100000000000003e-08,182,7000,1271,40,52,21
113,113_South-Apulia,1,3,1449,1.75e-08,198,6883,1162,40,70,22
114,114_South-Apulia,1,3,1310,1.8000000000000002e-08,183,7054,1202,26,32,12
