,openDt,year,month,day,movieNm,movieNmEn,directorpeopleNm
0,20200609,2020,06,09,마더체인지,20209983,
1,20200609,2020,06,09,내연녀,20200003,이영인
2,20200612,2020,06,12,시누이의 맛,20200143,최정자
3,20200702,2020,07,02,스텝업6: 이어 오브 더 댄스,20200761,
4,20200616,2020,06,16,바람의 검 - 적영자,20201036,야마구치 요시타카
5,20200616,2020,06,16,전설의 파이터,20209467,배효민
6,,,,,"휴거, 그들이 사라진 날",20200331,임종윤
7,,,,,수능의 탄생,20200330,
8,,,,,"시대유감, 삼풍",20200329,
9,,,,,대망,20200363,
10,,,,,왕조,20200328,전진
11,,,,,알로하,20201922,
12,,,,,우리의 소원은,20200362,
13,,,,,여담들,20200486,남궁선
14,,,,,프리즈너,20200002,양길영
15,,,,,무지개 여신,20200291,
16,,,,,늙은 부부이야기,20200234,
17,,,,,친척 누나,20201867,최성은
18,,,,,친척 여동생,20201921,최성은
19,,,,,유통기한,20205305,유준민
20,,,,,테스와 보낸 여름,20199302,
21,20200722,2020,07,22,블루 아워,20209882,하코타 유코
22,,,,,깡치 2,20200141,장동현
23,20200723,2020,07,23,파리의 인어,20200749,마티아스 마르지유
24,,,,,리메인,20190505,김민경
25,20200723,2020,07,23,슈퍼 레이스,20192522,
26,,,,,바람아 안개를 걷어가다오,20209948,신동민
27,,,,,설원전투,20201866,데얀 바보세크
28,,,,,기린의 날개,20201865,도이 노부히로
29,,,,,바디캠,20201864,말릭 비탈
30,,,,,나이브스 앤 스킨,20201901,제니퍼 리더
31,20200729,2020,07,29,빅샤크3: 젤리몬스터 대소동,20200491,신우
32,20200716,2020,07,16,양과 늑대의 사랑과 살인,20208002,아사쿠라 카요코
33,20200611,2020,06,11,파리 오페라 발레단,20196711,티에리 데마이지에르
34,,,,,뮤지컬 브로드웨이 42번가,20197112,마크 브램블
35,20200709,2020,07,09,테우리,20200304,이난
36,20200603,2020,06,03,가슴 큰 앞집 소녀,20209848,이동준
37,19890624,1989,06,24,전망좋은 방,19890188,제임스 아이보리
38,,,,,맛있는 녀석들,20188364,
39,,,,,누나의 일기 - 무삭제판,20204822,김태수
40,20200602,2020,06,02,세 여자,20209801,왕지방
41,,,,,착한도련님,20201882,최성은
42,,,,,오빠가 너무해,20201881,최성은
43,,,,,19금 불륜소설 무삭제판,20207409,윤준세
44,,,,,해피호구데이,20198362,김승아
45,,,,,컬러 아웃 오브 스페이스,20200247,리차드 스탠리
46,20200709,2020,07,09,부활,20201841,구수환
47,,,,,외아들,20201863,정진우
48,19730418,1973,04,18,섬개구리 만세,19720013,정진우
49,,,,,홈커밍데이,20200081,
50,,,,,파이널 리뎀션,20209046,
51,20200625,2020,06,25,킬 모드,20207923,
52,,,,,적인걸 더 파이널,20208991,남지위
53,,,,,아가사: 살인의 진실,20209784,
54,,,,,세이빙 플로라,20200021,
55,,,,,블러드라인,20200061,
56,20200701,2020,07,01,해피 디 데이,20200083,켄 마리노
57,,,,,머시블랙: 저주 받은 아이,20200041,오웬 에저튼
58,,,,,막내 처제 2 - 무삭제판,20205145,정진호
59,,,,,더 히어로,20200923,
60,,,,,광주비디오: 사라진 4시간,20209954,이조훈
61,,,,,스왈로우,20200909,카를로 미라벨라 데이비스
62,20200630,2020,06,30,할로윈: 살인마 잭,20200145,앤드류 존스
63,20200630,2020,06,30,자매들: 감금의 추억 무삭제판,20201644,한동호
64,20200630,2020,06,30,여선생의 금지된 방문교육,20201666,
65,20200630,2020,06,30,신천역 3번출구-확장판,20201683,노현진
66,20200630,2020,06,30,3022: 지구 대폭발,20200730,존 슈이츠
67,,,,,유혹하는 어린 새엄마,20201843,버드맨 텟페이
68,,,,,순종하는 며느리,20201862,버드맨 텟페이
69,,,,,뜨거운 새엄마,20201861,키무라 히로유키
70,,,,,밝히는 유부녀:또 하고싶어,20201842,아카바네 류지
71,,,,,하얀 나비,20090564,김삼력
72,,,,,발정난 유부녀들,20201820,이즈미 류지
73,20200624,2020,06,24,#살아있다,20193069,조일형
74,,,,,취하면 벗고보는 이웃여자,20201819,버드맨 텟페이
75,,,,,마더 오브 조지,20201810,앤드류 두선무
76,,,,,맞짱의 신: 시라소니,20209510,김승권
77,20200715,2020,07,15,반도,20193450,연상호
78,20200723,2020,07,23,고 피쉬!,20209991,숀 패트릭 오렐리
79,20200603,2020,06,03,카르멘,20180765,
80,20200603,2020,06,03,로그 워페어 2 더 헌트,20207895,마이크 건서
81,20200602,2020,06,02,페이건 워리어,20209511,루이자 워렌
82,20200602,2020,06,02,컬트 걸,20209512,
83,20200602,2020,06,02,사랑의 묘약,20209202,
84,,,,,존경하고 사랑하는 국민여러분,20191590,김진홍
85,,,,,트로이 디렉터스 컷,20200836,볼프강 페터젠
86,,,,,여고괴담 리부트: 母校,20194377,이미영
87,,,,,세인트 주디 ,20209107,
88,20200702,2020,07,02,트랜짓,20196938,크리스티안 펫졸드
89,20200507,2020,05,07,죽도 서핑 다이어리,20190727,이현승
90,20200701,2020,07,01,킬 스위치,20200802,
91,,,,,블링크,20201831,한가람
92,,,,,인간증명,20201832,김의석
93,,,,,우주인 조안,20201833,이윤정
94,,,,,하얀 까마귀,20201816,장철수
95,,,,,간호중,20201815,민규동
96,,,,,만신,20201814,노덕
97,,,,,증강 콩깍지,20201813,오기환
98,,,,,일주일 만에 사랑할 순 없다,20201812,안국진
99,20200701,2020,07,01,소리꾼,20196201,조정래
