기간	자치구	합계	가정용	공공용	서비스업	서비스업	서비스업	서비스업	서비스업	산업용	산업용	산업용	산업용
기간	자치구	합계	가정용	공공용	소계	전철	수도	사업자용	순수서비스	소계	농림어업	광업	제조업
2015	합계	45,381,484	12,964,825	3,639,448	26,735,844	1,264,071	607,520	93,937	24,770,317	2,041,367	14,231	3,106	2,024,030
2015	종로구	1,730,094	247,542	250,186	1,164,052	-	2,799	2,127	1,159,126	68,314	67	526	67,720
2015	중구	2,489,750	182,664	109,942	1,970,804	-	272	9,633	1,960,898	226,340	28	207	226,106
2015	용산구	1,354,229	390,013	333,119	606,980	5,945	6,231	529	594,275	24,117	5	37	24,076
2015	성동구	1,880,003	385,177	449,904	712,024	5,249	39,695	3,285	663,796	332,898	30	418	332,449
2015	광진구	1,601,890	448,342	97,941	1,018,117	316,036	36,626	2,927	662,527	37,491	240	78	37,172
2015	동대문구	1,413,502	477,536	119,051	737,057	53,236	8,620	1,761	673,440	79,858	232	62	79,563
2015	중랑구	1,086,354	495,943	35,892	494,604	1,560	5,644	1,706	485,694	59,915	392	36	59,488
2015	성북구	1,434,911	586,077	204,389	594,785	-	18,256	1,183	575,345	49,660	307	1	49,353
2015	강북구	895,336	388,435	41,101	428,197	-	7,592	886	419,719	37,602	130	-	37,472
2015	도봉구	889,510	416,081	48,081	366,405	-	6,624	1,283	358,498	58,942	268	-	58,674
2015	노원구	1,493,236	673,393	156,099	627,346	-	14,679	3,938	608,728	36,398	136	-	36,262
2015	은평구	1,300,717	587,050	67,841	629,689	121,037	8,805	2,061	497,787	16,137	122	19	15,995
2015	서대문구	1,199,130	396,863	281,781	502,587	-	11,791	227	490,569	17,898	62	3	17,833
2015	마포구	1,981,694	544,950	135,285	1,269,558	13,505	10,262	10,404	1,235,387	31,901	151	7	31,743
2015	양천구	1,531,686	614,737	59,479	833,965	-	9,112	2,353	822,500	23,504	161	94	23,250
2015	강서구	2,001,290	728,879	204,103	999,603	30,538	5,201	1,775	962,089	68,706	3,136	1,079	64,491
2015	구로구	1,868,154	552,246	52,663	1,141,615	243,528	9,172	1,539	887,376	121,630	274	414	120,942
2015	금천구	1,586,576	275,366	24,137	977,327	-	3,588	1,356	972,384	309,745	203	12	309,530
2015	영등포구	2,590,033	550,331	163,862	1,746,972	17,668	85,769	7,283	1,636,252	128,868	89	46	128,733
2015	동작구	1,250,380	489,598	119,629	625,316	8,970	26,002	1,342	589,002	15,836	60	-	15,777
2015	관악구	1,645,890	625,389	229,112	759,011	-	11,165	1,229	746,617	32,377	107	-	32,270
2015	서초구	3,465,964	658,953	212,886	2,416,930	362,302	28,931	10,695	2,015,002	177,195	3,024	54	174,118
2015	강남구	4,629,332	867,871	99,263	3,644,486	40,198	34,518	19,198	3,550,572	17,713	1,135	-	16,578
2015	송파구	2,565,579	841,960	85,772	1,601,368	44,298	73,285	3,283	1,480,502	36,478	1,075	-	35,403
2015	강동구	1,496,246	539,427	57,932	867,045	-	142,882	1,933	722,231	31,842	2,797	13	29,033
