기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2016	합계	계	6,443	5,715	160	568	719	80	34,041.24	14,154,490	5,975,254	8,179,236	675,275,998	276	40	236	181	307
2016	합계	1월	622	539	16	67	113	35	5,209.34	1,431,568	677,179	754,389	67,421,294	34	8	26	68	33
2016	합계	2월	615	543	22	50	73	3	2,937.41	1,513,008	712,821	800,187	77,933,233	27	2	25	5	57
2016	합계	3월	674	587	24	63	77	-	10,189	1,446,811	561,738	885,073	37,860,493	42	4	38	-	34
2016	합계	4월	565	498	11	56	77	4	3,508.6	1,656,166	573,936	1,082,230	91,555,771	22	4	18	10	28
2016	합계	5월	548	498	13	37	65	3	1,320.42	896,375	394,364	502,011	31,988,352	20	2	18	8	9
2016	합계	6월	495	452	8	35	42	-	2,671.7	1,394,932	660,122	734,810	27,912,982	12	1	11	-	30
2016	합계	7월	516	458	5	53	47	5	1,426.57	1,160,784	460,185	700,599	99,226,762	18	4	14	14	6
2016	합계	8월	518	460	11	47	51	6	1,076.27	874,910	316,881	558,029	38,653,928	20	-	20	14	7
2016	합계	9월	499	455	13	31	35	15	1,318.76	992,044	461,646	530,398	32,150,993	28	8	20	43	52
2016	합계	10월	452	403	12	37	45	6	1,137.6	946,163	331,082	615,081	59,741,631	16	3	13	11	21
2016	합계	11월	477	421	8	48	62	2	2,105.04	992,815	406,496	586,319	34,574,770	12	2	10	4	3
2016	합계	12월	462	401	17	44	32	1	1,140.53	848,914	418,804	430,110	76,255,789	25	2	23	4	27
2016	종로구	계	276	238	5	33	-	-	499	394,813	120,049	274,764	3,354,937	12	2	10	-	4
2016	종로구	1월	24	22	-	2	-	-	17	7,664	2,524	5,140	340,679	1	-	1	-	-
2016	종로구	2월	25	20	-	5	-	-	72	46,678	9,111	37,567	391,533	1	-	1	-	-
2016	종로구	3월	30	28	-	2	-	-	103	90,761	14,250	76,511	657,489	2	1	1	-	-
2016	종로구	4월	20	18	1	1	-	-	49	36,898	11,418	25,480	828,189	-	-	-	-	1
2016	종로구	5월	23	22	-	1	-	-	34	38,951	10,342	28,609	-	1	-	1	-	-
2016	종로구	6월	25	23	1	1	-	-	19	18,590	9,760	8,830	68,503	-	-	-	-	-
2016	종로구	7월	24	19	-	5	-	-	124	41,719	23,175	18,544	358,397	2	-	2	-	-
2016	종로구	8월	10	7	-	3	-	-	5	4,198	2,600	1,598	102,083	-	-	-	-	-
2016	종로구	9월	24	20	1	3	-	-	20	22,572	15,796	6,776	384,456	1	-	1	-	-
2016	종로구	10월	22	16	2	4	-	-	35	32,939	12,053	20,886	-	4	1	3	-	3
2016	종로구	11월	29	25	-	4	-	-	20	28,296	2,514	25,782	-	-	-	-	-	-
2016	종로구	12월	20	18	-	2	-	-	1	25,547	6,506	19,041	223,608	-	-	-	-	-
2016	중구	계	210	194	6	10	21	3	964.19	583,593	167,694	415,899	7,480,060	7	3	4	11	3
2016	중구	1월	27	25	1	1	4	2	154.3	90,516	30,832	59,684	1,300,467	1	1	-	8	1
2016	중구	2월	25	22	1	2	1	-	13	14,833	2,433	12,400	755,703	-	-	-	-	-
2016	중구	3월	24	22	1	1	4	-	56	35,903	10,483	25,420	2,481,581	-	-	-	-	1
2016	중구	4월	19	18	-	1	-	-	15	22,964	2,802	20,162	528,242	-	-	-	-	-
2016	중구	5월	20	19	-	1	3	-	155	80,346	20,509	59,837	237,847	2	-	2	-	-
2016	중구	6월	12	12	-	-	-	-	15	4,888	2,320	2,568	212,029	-	-	-	-	-
2016	중구	7월	10	9	-	1	2	-	77.03	62,969	17,147	45,822	22,305	2	2	-	-	-
2016	중구	8월	13	10	2	1	2	1	128	130,430	45,209	85,221	578,149	2	-	2	3	-
2016	중구	9월	12	11	1	-	-	-	30	41,611	5,303	36,308	59,336	-	-	-	-	-
2016	중구	10월	21	21	-	-	1	-	16	38,648	2,808	35,840	562,028	-	-	-	-	-
2016	중구	11월	13	12	-	1	3	-	303.86	46,811	25,650	21,161	327,897	-	-	-	-	-
2016	중구	12월	14	13	-	1	1	-	1	13,674	2,198	11,476	414,476	-	-	-	-	1
2016	용산구	계	197	160	1	36	1	-	739.9	643,949	203,589	440,360	50,377,117	8	1	7	-	28
2016	용산구	1월	27	19	-	8	1	-	86	22,658	10,934	11,724	332,563	-	-	-	-	1
2016	용산구	2월	18	16	-	2	-	-	117.5	117,583	76,825	40,758	194,370	5	-	5	-	27
2016	용산구	3월	20	17	1	2	-	-	57	13,499	10,835	2,664	280,434	-	-	-	-	-
2016	용산구	4월	18	13	-	5	-	-	119.2	258,587	40,103	218,484	15,972,169	-	-	-	-	-
2016	용산구	5월	16	14	-	2	-	-	8	4,336	1,709	2,627	24,271	-	-	-	-	-
2016	용산구	6월	12	10	-	2	-	-	51	10,282	7,946	2,336	240,433	-	-	-	-	-
2016	용산구	7월	16	12	-	4	-	-	150	141,690	34,680	107,010	2,066,698	1	-	1	-	-
2016	용산구	8월	12	10	-	2	-	-	6	4,160	2,093	2,067	6,657,712	-	-	-	-	-
2016	용산구	9월	11	10	-	1	-	-	13	13,248	2,755	10,493	6,808,651	1	-	1	-	-
2016	용산구	10월	15	12	-	3	-	-	9	11,478	1,717	9,761	389,775	-	-	-	-	-
2016	용산구	11월	16	14	-	2	-	-	68	36,237	9,306	26,931	308,606	1	1	-	-	-
2016	용산구	12월	16	13	-	3	-	-	55.2	10,191	4,686	5,505	17,101,435	-	-	-	-	-
2016	성동구	계	182	160	1	21	19	-	1,771.6	546,702	228,358	318,344	41,774,230	5	-	5	-	4
2016	성동구	1월	18	16	-	2	2	-	135	25,611	8,554	17,057	1,024,618	-	-	-	-	-
2016	성동구	2월	15	14	-	1	1	-	53.3	36,111	25,139	10,972	1,014,812	-	-	-	-	2
2016	성동구	3월	15	15	-	-	1	-	1,013.5	111,864	37,740	74,124	991,157	-	-	-	-	-
2016	성동구	4월	15	13	-	2	-	-	2	5,871	2,124	3,747	611,527	-	-	-	-	-
2016	성동구	5월	13	10	-	3	1	-	22	77,817	19,000	58,817	1,439,176	2	-	2	-	2
2016	성동구	6월	16	15	-	1	3	-	232.3	55,557	39,415	16,142	1,892,045	1	-	1	-	-
2016	성동구	7월	16	14	-	2	3	-	82	44,764	15,145	29,619	3,275,802	-	-	-	-	-
2016	성동구	8월	17	14	-	3	3	-	50	57,901	15,125	42,776	2,933,520	1	-	1	-	-
2016	성동구	9월	12	11	-	1	1	-	59.5	24,699	12,776	11,923	529,645	-	-	-	-	-
2016	성동구	10월	11	9	-	2	-	-	-	11,809	3,347	8,462	365,055	-	-	-	-	-
2016	성동구	11월	22	18	1	3	4	-	119	76,122	46,225	29,897	5,846,515	1	-	1	-	-
2016	성동구	12월	12	11	-	1	-	-	3	18,576	3,768	14,808	21,850,358	-	-	-	-	-
2016	광진구	계	215	186	2	27	21	-	886.76	477,460	283,723	193,737	32,175,611	10	-	10	-	4
2016	광진구	1월	18	16	-	2	2	-	1	18,813	8,262	10,551	1,584,955	1	-	1	-	-
2016	광진구	2월	22	20	-	2	4	-	3	14,264	2,078	12,186	1,825,107	-	-	-	-	-
2016	광진구	3월	21	17	-	4	1	-	227	36,787	30,426	6,361	5,292,909	1	-	1	-	-
2016	광진구	4월	20	18	-	2	-	-	195.96	69,022	33,139	35,883	1,240,522	-	-	-	-	3
2016	광진구	5월	20	17	1	2	1	-	113	107,154	55,554	51,600	5,189,250	5	-	5	-	1
2016	광진구	6월	12	10	-	2	2	-	33.5	15,122	9,911	5,211	999,315	1	-	1	-	-
2016	광진구	7월	19	16	-	3	3	-	116	112,088	93,246	18,842	7,944,062	1	-	1	-	-
2016	광진구	8월	19	15	1	3	4	-	44.3	30,126	16,670	13,456	4,522,408	-	-	-	-	-
2016	광진구	9월	12	12	-	-	1	-	18.5	15,495	8,418	7,077	1,334,674	-	-	-	-	-
2016	광진구	10월	17	14	-	3	1	-	69.5	30,068	15,211	14,857	1,196,758	-	-	-	-	-
2016	광진구	11월	19	17	-	2	1	-	25	15,657	7,407	8,250	471,276	-	-	-	-	-
2016	광진구	12월	16	14	-	2	1	-	40	12,864	3,401	9,463	574,375	1	-	1	-	-
2016	동대문구	계	236	201	10	25	11	28	2,067.19	1,266,913	462,344	804,569	13,059,361	15	3	12	44	19
2016	동대문구	1월	21	17	1	3	4	27	313.2	234,892	73,808	161,084	653,351	5	-	5	42	4
2016	동대문구	2월	18	16	-	2	-	-	5	14,107	4,749	9,358	483,768	2	-	2	-	1
2016	동대문구	3월	37	32	3	2	-	-	130	138,837	26,830	112,007	752,921	1	-	1	-	-
2016	동대문구	4월	19	15	-	4	4	1	292	134,451	55,188	79,263	2,682,648	3	2	1	2	-
2016	동대문구	5월	15	14	-	1	-	-	6	6,212	2,165	4,047	91,617	-	-	-	-	-
2016	동대문구	6월	14	10	2	2	-	-	819	454,470	180,994	273,476	867,951	3	-	3	-	7
2016	동대문구	7월	23	19	-	4	-	-	67.6	53,813	24,609	29,204	3,281,221	-	-	-	-	-
2016	동대문구	8월	19	14	2	3	3	-	161	77,922	23,395	54,527	996,962	-	-	-	-	-
2016	동대문구	9월	19	16	1	2	-	-	108	51,182	29,067	22,115	835,882	1	1	-	-	6
2016	동대문구	10월	13	13	-	-	-	-	55	26,190	15,645	10,545	869,278	-	-	-	-	-
2016	동대문구	11월	18	16	1	1	-	-	44.98	39,265	11,229	28,036	1,292,834	-	-	-	-	1
2016	동대문구	12월	20	19	-	1	-	-	65.41	35,572	14,665	20,907	250,928	-	-	-	-	-
2016	중랑구	계	195	165	4	26	31	-	925	333,552	128,223	205,329	32,507,323	8	-	8	-	16
2016	중랑구	1월	25	20	-	5	7	-	20	42,907	21,613	21,294	7,243,197	2	-	2	-	5
2016	중랑구	2월	25	17	2	6	3	-	646	33,983	11,017	22,966	1,052,464	2	-	2	-	3
2016	중랑구	3월	25	20	1	4	6	-	16	19,097	4,989	14,108	341,767	-	-	-	-	-
2016	중랑구	4월	14	13	-	1	1	-	5	4,728	1,285	3,443	19,398,976	1	-	1	-	-
2016	중랑구	5월	18	16	1	1	3	-	151	133,179	45,985	87,194	1,433,436	-	-	-	-	-
2016	중랑구	6월	11	9	-	2	1	-	40	24,161	10,369	13,792	123,270	-	-	-	-	-
2016	중랑구	7월	9	8	-	1	1	-	22	6,254	3,118	3,136	-	-	-	-	-	-
2016	중랑구	8월	17	16	-	1	3	-	5	11,607	2,366	9,241	1,025,277	-	-	-	-	1
2016	중랑구	9월	17	16	-	1	-	-	7	13,545	10,928	2,617	138,524	-	-	-	-	-
2016	중랑구	10월	9	9	-	-	-	-	-	17,567	5,951	11,616	12	-	-	-	-	-
2016	중랑구	11월	11	11	-	-	2	-	-	7,209	3,017	4,192	11,876	-	-	-	-	-
2016	중랑구	12월	14	10	-	4	4	-	13	19,315	7,585	11,730	1,738,524	3	-	3	-	7
